SegmentPair,OverlapRatio,NumCorrespondences
"(4, 1) with (7, 3)",0.06362354906635574,7312
"(4, 9) with (8, 6)",0.06302410901467505,481
"(3, 7) with (4, 1)",0.06296484971981661,618
"(3, 3) with (5, 1)",0.06095757989309678,1072
"(0, 6) with (2, 9)",0.06049791086350975,695
"(3, 3) with (8, 2)",0.05947913112703287,1046
"(3, 9) with (6, 1)",0.05642530984996738,346
"(2, 7) with (9, 4)",0.055915337229505604,354
"(0, 5) with (8, 7)",0.05574912891986063,656
"(0, 5) with (8, 6)",0.05523922835047166,650
"(4, 9) with (7, 6)",0.05450733752620545,416
"(0, 7) with (9, 1)",0.05421686746987952,621
"(3, 3) with (7, 9)",0.05322415557830092,936
"(4, 4) with (6, 1)",0.05276727074276896,2804
"(5, 1) with (8, 2)",0.05275614720992601,6531
"(4, 9) with (7, 8)",0.05267295597484277,402
"(0, 8) with (8, 8)",0.05166635635822007,555
"(0, 9) with (9, 1)",0.049312470365101946,520
"(2, 7) with (8, 2)",0.04880745537829727,309
"(3, 7) with (9, 2)",0.04768211920529802,468
"(0, 2) with (8, 7)",0.044677576150356446,1103
"(3, 7) with (5, 5)",0.043402954661232805,426
"(3, 7) with (9, 6)",0.043301069791136015,425
"(4, 9) with (6, 8)",0.04323899371069182,330
"(2, 9) with (5, 5)",0.04177675033025099,253
"(1, 2) with (5, 6)",0.041676600309929666,2797
"(4, 2) with (9, 7)",0.040276664266010787,2964
"(0, 2) with (8, 6)",0.03997893713545042,987
"(1, 2) with (5, 9)",0.03967993801406604,2663
"(6, 1) with (9, 4)",0.03961963484111527,3804
"(1, 2) with (5, 1)",0.03868160686613422,2596
"(3, 8) with (9, 4)",0.037423022264329704,316
"(6, 8) with (7, 8)",0.03608202820801246,417
"(5, 1) with (6, 1)",0.035178842612039164,4355
"(8, 8) with (9, 4)",0.034764067859460464,375
"(3, 8) with (4, 1)",0.03398863098057792,287
"(3, 8) with (4, 2)",0.03327806726669825,281
"(1, 8) with (6, 5)",0.03290093105973428,629
"(4, 7) with (8, 7)",0.03174692049272117,567
"(0, 9) with (9, 4)",0.030535798956851587,322
"(5, 6) with (8, 8)",0.03013065505288419,678
"(7, 8) with (9, 9)",0.02936680344355942,365
"(5, 1) with (9, 4)",0.029136644156515557,3607
"(4, 7) with (8, 6)",0.028891377379619262,516
"(3, 7) with (4, 6)",0.028833418237391748,283
"(6, 7) with (8, 7)",0.028794699736685636,339
"(6, 7) with (8, 6)",0.028794699736685636,339
"(7, 3) with (9, 2)",0.028726374570446734,1605
"(7, 3) with (9, 1)",0.028296821305841924,1581
"(3, 3) with (8, 6)",0.028147389969293755,495
"(3, 8) with (8, 2)",0.028067266698247276,237
"(4, 2) with (8, 2)",0.02731312252857007,2010
"(7, 2) with (9, 1)",0.026992146308450194,1715
"(0, 8) with (4, 1)",0.026717557251908396,287
"(7, 2) with (9, 2)",0.026457025040527566,1681
"(5, 6) with (7, 7)",0.026131010576837616,588
"(1, 3) with (6, 1)",0.026125717739498337,1729
"(0, 8) with (4, 2)",0.0259728169800782,279
"(4, 1) with (9, 7)",0.025955832448706122,2983
"(0, 7) with (9, 4)",0.025755194691810722,295
"(2, 7) with (6, 1)",0.025746327594376877,163
"(1, 9) with (5, 6)",0.02563241549138124,229
"(4, 4) with (8, 5)",0.025536799713957732,1357
"(4, 7) with (7, 8)",0.024244120940649497,433
"(3, 3) with (9, 4)",0.02411008756965768,424
"(0, 7) with (9, 2)",0.023834468308014667,273
"(1, 3) with (5, 5)",0.02322453913569054,1537
"(1, 8) with (6, 7)",0.022648812637305157,433
"(7, 6) with (9, 9)",0.021964514749893117,411
"(0, 6) with (3, 7)",0.02193593314763231,252
"(0, 8) with (5, 6)",0.021783652951033326,234
"(4, 6) with (8, 5)",0.02172438908004119,865
"(1, 7) with (6, 1)",0.021436768418636676,467
"(3, 7) with (9, 9)",0.020886398369842078,205
"(3, 3) with (4, 1)",0.02058455589673604,362
"(6, 1) with (9, 7)",0.020465978565402602,1965
"(6, 1) with (8, 2)",0.020091029339776904,1929
"(3, 3) with (4, 2)",0.01973160468554532,347
"(0, 9) with (8, 2)",0.01972498814604078,208
"(1, 2) with (6, 1)",0.019042794135177017,1278
"(1, 3) with (2, 7)",0.018449682683590207,1221
"(1, 2) with (8, 8)",0.018402074144713315,1235
"(6, 5) with (8, 7)",0.01820259570647294,446
"(6, 6) with (8, 9)",0.0180225703217113,214
"(6, 5) with (8, 6)",0.017957717737327565,440
"(1, 8) with (2, 8)",0.017679673606025736,338
"(4, 1) with (8, 2)",0.017454709987296174,2006
"(8, 8) with (9, 1)",0.01715027347733383,185
"(0, 7) with (8, 2)",0.017024620220010476,195
"(5, 6) with (7, 9)",0.01697626877610879,382
"(1, 2) with (3, 3)",0.016912027655262844,1135
"(3, 8) with (9, 1)",0.016816674561819043,142
"(1, 3) with (6, 3)",0.016711997582351163,1106
"(2, 8) with (7, 8)",0.016623207301173403,102
"(6, 3) with (8, 5)",0.01617510189672326,504
"(7, 3) with (9, 6)",0.016161941580756015,903
"(4, 2) with (7, 2)",0.01561332228125722,1149
"(1, 9) with (9, 4)",0.01544660846205507,138
"(3, 8) with (8, 9)",0.015395547134059688,130
"(3, 3) with (9, 1)",0.015296258387353576,269
"(1, 3) with (2, 6)",0.015110305228165609,1000
"(2, 6) with (6, 6)",0.015087281795511222,121
"(0, 9) with (9, 2)",0.014983404457088668,158
"(4, 2) with (7, 3)",0.014838771045372396,1092
"(7, 2) with (9, 6)",0.014212191321592143,903
"(1, 8) with (3, 3)",0.014070509467517523,269
"(0, 3) with (2, 7)",0.013654150362168013,328
"(5, 1) with (9, 7)",0.013433390416491648,1663
"(0, 8) with (9, 4)",0.012846769689070937,138
"(1, 9) with (4, 2)",0.012648309827624804,113
"(1, 3) with (8, 2)",0.011544273194318526,764
"(2, 9) with (8, 5)",0.011393659180977542,69
"(4, 1) with (8, 5)",0.011294224109426935,1298
"(3, 3) with (8, 9)",0.011258955987717503,198
"(5, 9) with (7, 7)",0.011142402350924452,182
"(1, 3) with (9, 4)",0.010546993049259596,698
"(6, 1) with (7, 7)",0.010321518960974035,991
"(0, 9) with (9, 7)",0.00995732574679943,105
"(1, 9) with (4, 1)",0.009850011193194537,88
"(1, 2) with (3, 8)",0.00968530218142806,650
"(1, 8) with (9, 1)",0.009676744429333613,185
"(7, 7) with (8, 2)",0.009525919361984936,129
"(2, 7) with (9, 7)",0.00947717580161112,60
